Count;DISTRICT;HUMAN INSTINCT;TYPE OF LAND;VLAND ID;COORDINATES;_1_XY;_2_XY;_3_XY;_4_XY;Position X;Position Y;Cluster
666;District 5 Omega;Vitality;Deluxe;1556D;-7104, 1680;-7088, 1664;-7088, 1696;-7120, 1696;-7120, 1664;-7104.0000;1680.0000;159
667;District 5 Omega;Vitality;Deluxe;1557D;-8016, 576;-8000, 560;-8000, 592;-8032, 592;-8032, 560;-8016.0000;576.0000;160
668;District 5 Omega;Vitality;Deluxe;1558D;-8016, 608;-8000, 592;-8000, 624;-8032, 624;-8032, 592;-8016.0000;608.0000;160
669;District 5 Omega;Vitality;Deluxe;1559D;-7984, 576;-7968, 560;-7968, 592;-8000, 592;-8000, 560;-7984.0000;576.0000;160
670;District 5 Omega;Vitality;Deluxe;1560D;-7984, 608;-7968, 592;-7968, 624;-8000, 624;-8000, 592;-7984.0000;608.0000;160
671;District 5 Omega;Vitality;Deluxe;1561D;-4592, -6736;-4576, -6720;-4576, -6752;-4608, -6752;-4608, -6720;-4592.0000;-6736.0000;161
672;District 5 Omega;Vitality;Deluxe;1562D;-4592, -6768;-4576, -6752;-4576, -6784;-4608, -6784;-4608, -6752;-4592.0000;-6768.0000;161
673;District 6 Sigma;Imagination;Premium;  1797P;3216, 784;3200, 768;3232, 768;3232, 800;3200, 800;3216.0000;784.0000;63
674;District 6 Sigma;Imagination;Premium;  1798P;3184, 784;3168, 768;3200, 768;3200, 800;3168, 800;3184.0000;784.0000;63
675;District 6 Sigma;Imagination;Premium;  1799P;3744, 1692;3728, 1676;3760, 1676;3760, 1708;3728, 1708;3744.0000;1692.0000;64
676;District 6 Sigma;Imagination;Premium;  1800P;3712, 1692;3696, 1676;3728, 1676;3728, 1708;3696, 1708;3712.0000;1692.0000;64
677;District 6 Sigma;Imagination;Premium;  1801P;4096, 1472;4080, 1456;4112, 1456;4112, 1488;4080, 1488;4096.0000;1472.0000;65
678;District 6 Sigma;Imagination;Premium;  1802P;4064, 1472;4048, 1456;4080, 1456;4080, 1488;4048, 1488;4064.0000;1472.0000;65
679;District 6 Sigma;Imagination;Premium;  1803P;3568, -562;3552, -546;3584, -546;3584, -578;3552, -578;3568.0000;-562.0000;66
680;District 6 Sigma;Imagination;Premium;  1804P;3536, -562;3520, -546;3552, -546;3552, -578;3520, -578;3536.0000;-562.0000;66
681;District 6 Sigma;Imagination;Premium;  1805P;3216, -784;3200, -768;3232, -768;3232, -800;3200, -800;3216.0000;-784.0000;67
682;District 6 Sigma;Imagination;Premium;  1806P;3184, -784;3168, -768;3200, -768;3200, -800;3168, -800;3184.0000;-784.0000;67
683;District 6 Sigma;Imagination;Premium;  1807P;3744, -1692;3728, -1676;3760, -1676;3760, -1708;3728, -1708;3744.0000;-1692.0000;68
684;District 6 Sigma;Imagination;Premium;  1808P;3712, -1692;3696, -1676;3728, -1676;3728, -1708;3696, -1708;3712.0000;-1692.0000;68
685;District 6 Sigma;Imagination;Premium;  1809P;4096, -1472;4080, -1456;4112, -1456;4112, -1488;4080, -1488;4096.0000;-1472.0000;69
686;District 6 Sigma;Imagination;Premium;  1810P;4064, -1472;4048, -1456;4080, -1456;4080, -1488;4048, -1488;4064.0000;-1472.0000;69
687;District 6 Sigma;Imagination;Premium;  1811P;6352, 1288;6368, 1272;6336, 1272;6336, 1304;6368, 1304;6352.0000;1288.0000;70
688;District 6 Sigma;Imagination;Premium;  1812P;6384, 1288;6400, 1272;6368, 1272;6368, 1304;6400, 1304;6384.0000;1288.0000;70
689;District 6 Sigma;Imagination;Premium;  1813P;6704, 1520;6720, 1504;6688, 1504;6688, 1536;6720, 1536;6704.0000;1520.0000;71
690;District 6 Sigma;Imagination;Premium;  1814P;6736, 1520;6752, 1504;6720, 1504;6720, 1536;6752, 1536;6736.0000;1520.0000;71
691;District 6 Sigma;Imagination;Premium;  1815P;3824, 228;3840, 212;3808, 212;3808, 244;3840, 244;3824.0000;228.0000;72
692;District 6 Sigma;Imagination;Premium;  1816P;3856, 228;3872, 212;3840, 212;3840, 244;3872, 244;3856.0000;228.0000;72
693;District 6 Sigma;Imagination;Premium;  1817P;3824, -228;3840, -212;3808, -212;3808, -244;3840, -244;3824.0000;-228.0000;73
694;District 6 Sigma;Imagination;Premium;  1818P;3856, -228;3872, -212;3840, -212;3840, -244;3872, -244;3856.0000;-228.0000;73
695;District 6 Sigma;Imagination;Premium;  1819P;6096, 974;6080, 958;6112, 958;6112, 990;6080, 990;6096.0000;974.0000;74
696;District 6 Sigma;Imagination;Premium;  1820P;6064, 974;6048, 958;6080, 958;6080, 990;6048, 990;6064.0000;974.0000;74
697;District 6 Sigma;Imagination;Premium;  1821P;5104, 974;5120, 958;5088, 958;5088, 990;5120, 990;5104.0000;974.0000;75
698;District 6 Sigma;Imagination;Premium;  1822P;5136, 974;5152, 958;5120, 958;5120, 990;5152, 990;5136.0000;974.0000;75
699;District 6 Sigma;Imagination;Premium;  1823P;6096, -974;6080, -958;6112, -958;6112, -990;6080, -990;6096.0000;-974.0000;76
700;District 6 Sigma;Imagination;Premium;  1824P;6064, -974;6048, -958;6080, -958;6080, -990;6048, -990;6064.0000;-974.0000;76
701;District 6 Sigma;Imagination;Premium;  1825P;5104, -974;5120, -958;5088, -958;5088, -990;5120, -990;5104.0000;-974.0000;77
702;District 6 Sigma;Imagination;Premium;  1826P;5136, -974;5152, -958;5120, -958;5120, -990;5152, -990;5136.0000;-974.0000;77
703;District 6 Sigma;Imagination;Premium;  1827P;6704, 160;6720, 144;6688, 144;6688, 176;6720, 176;6704.0000;160.0000;78
704;District 6 Sigma;Imagination;Premium;  1828P;6736, 160;6752, 144;6720, 144;6720, 176;6752, 176;6736.0000;160.0000;78
705;District 6 Sigma;Imagination;Premium;  1829P;6704, -160;6720, -144;6688, -144;6688, -176;6720, -176;6704.0000;-160.0000;79
706;District 6 Sigma;Imagination;Premium;  1830P;6736, -160;6752, -144;6720, -144;6720, -176;6752, -176;6736.0000;-160.0000;79
707;District 6 Sigma;Imagination;Premium;  1831P;4496, 160;4480, 144;4512, 144;4512, 176;4480, 176;4496.0000;160.0000;80
708;District 6 Sigma;Imagination;Premium;  1832P;4464, 160;4448, 144;4480, 144;4480, 176;4448, 176;4464.0000;160.0000;80
709;District 6 Sigma;Imagination;Premium;  1833P;4496, -160;4480, -144;4512, -144;4512, -176;4480, -176;4496.0000;-160.0000;81
710;District 6 Sigma;Imagination;Premium;  1834P;4464, -160;4448, -144;4480, -144;4480, -176;4448, -176;4464.0000;-160.0000;81
711;District 6 Sigma;Imagination;Premium;  1835P;5024, -2428;5008, -2412;5040, -2412;5040, -2444;5008, -2444;5024.0000;-2428.0000;82
712;District 6 Sigma;Imagination;Premium;  1836P;4992, -2428;4976, -2412;5008, -2412;5008, -2444;4976, -2444;4992.0000;-2428.0000;82
713;District 6 Sigma;Imagination;Premium;  1837P;4848, -1328;4832, -1312;4864, -1312;4864, -1344;4832, -1344;4848.0000;-1328.0000;83
714;District 6 Sigma;Imagination;Premium;  1838P;4816, -1328;4800, -1312;4832, -1312;4832, -1344;4800, -1344;4816.0000;-1328.0000;83
715;District 6 Sigma;Imagination;Premium;  1839P;4496, -1520;4480, -1504;4512, -1504;4512, -1536;4480, -1536;4496.0000;-1520.0000;84
716;District 6 Sigma;Imagination;Premium;  1840P;4464, -1520;4448, -1504;4480, -1504;4480, -1536;4448, -1536;4464.0000;-1520.0000;84
717;District 6 Sigma;Imagination;Premium;  1841P;6352, -1288;6368, -1272;6336, -1272;6336, -1304;6368, -1304;6352.0000;-1288.0000;85
718;District 6 Sigma;Imagination;Premium;  1842P;6384, -1288;6400, -1272;6368, -1272;6368, -1304;6400, -1304;6384.0000;-1288.0000;85
719;District 6 Sigma;Imagination;Premium;  1843P;6704, -1520;6720, -1504;6688, -1504;6688, -1536;6720, -1536;6704.0000;-1520.0000;86
720;District 6 Sigma;Imagination;Premium;  1844P;6736, -1520;6752, -1504;6720, -1504;6720, -1536;6752, -1536;6736.0000;-1520.0000;86
721;District 6 Sigma;Imagination;Premium;  1845P;4736, 6652;4752, 6636;4720, 6636;4720, 6668;4752, 6668;4736.0000;6652.0000;87
722;District 6 Sigma;Imagination;Premium;  1846P;4768, 6652;4784, 6636;4752, 6636;4752, 6668;4784, 6668;4768.0000;6652.0000;87
723;District 6 Sigma;Imagination;Premium;  1847P;4384, 6432;4400, 6416;4368, 6416;4368, 6448;4400, 6448;4384.0000;6432.0000;88
724;District 6 Sigma;Imagination;Premium;  1848P;4416, 6432;4432, 6416;4400, 6416;4400, 6448;4432, 6448;4416.0000;6432.0000;88
725;District 6 Sigma;Imagination;Premium;  1849P;4912, 4398;4928, 4414;4896, 4414;4896, 4382;4928, 4382;4912.0000;4398.0000;89
726;District 6 Sigma;Imagination;Premium;  1850P;4944, 4398;4960, 4414;4928, 4414;4928, 4382;4960, 4382;4944.0000;4398.0000;89
727;District 6 Sigma;Imagination;Premium;  1851P;5264, 4176;5280, 4192;5248, 4192;5248, 4160;5280, 4160;5264.0000;4176.0000;90
728;District 6 Sigma;Imagination;Premium;  1852P;5296, 4176;5312, 4192;5280, 4192;5280, 4160;5312, 4160;5296.0000;4176.0000;90
729;District 6 Sigma;Imagination;Premium;  1853P;4736, 3268;4752, 3284;4720, 3284;4720, 3252;4752, 3252;4736.0000;3268.0000;91
730;District 6 Sigma;Imagination;Premium;  1854P;4768, 3268;4784, 3284;4752, 3284;4752, 3252;4784, 3252;4768.0000;3268.0000;91
731;District 6 Sigma;Imagination;Premium;  1855P;4384, 3488;4400, 3504;4368, 3504;4368, 3472;4400, 3472;4384.0000;3488.0000;92
732;District 6 Sigma;Imagination;Premium;  1856P;4416, 3488;4432, 3504;4400, 3504;4400, 3472;4432, 3472;4416.0000;3488.0000;92
733;District 6 Sigma;Imagination;Premium;  1857P;2304, 2532;2288, 2548;2320, 2548;2320, 2516;2288, 2516;2304.0000;2532.0000;93
734;District 6 Sigma;Imagination;Premium;  1858P;2272, 2532;2256, 2548;2288, 2548;2288, 2516;2256, 2516;2272.0000;2532.0000;93
735;District 6 Sigma;Imagination;Premium;  1859P;2128, 3632;2112, 3648;2144, 3648;2144, 3616;2112, 3616;2128.0000;3632.0000;94
736;District 6 Sigma;Imagination;Premium;  1860P;2096, 3632;2080, 3648;2112, 3648;2112, 3616;2080, 3616;2096.0000;3632.0000;94
737;District 6 Sigma;Imagination;Premium;  1861P;1776, 3440;1760, 3456;1792, 3456;1792, 3424;1760, 3424;1776.0000;3440.0000;95
738;District 6 Sigma;Imagination;Premium;  1862P;1744, 3440;1728, 3456;1760, 3456;1760, 3424;1728, 3424;1744.0000;3440.0000;95
739;District 6 Sigma;Imagination;Premium;  1863P;3984, 3440;4000, 3456;3968, 3456;3968, 3424;4000, 3424;3984.0000;3440.0000;96
740;District 6 Sigma;Imagination;Premium;  1864P;4016, 3440;4032, 3456;4000, 3456;4000, 3424;4032, 3424;4016.0000;3440.0000;96
741;District 6 Sigma;Imagination;Premium;  1865P;3456, 2532;3472, 2548;3440, 2548;3440, 2516;3472, 2516;3456.0000;2532.0000;97
742;District 6 Sigma;Imagination;Premium;  1866P;3488, 2532;3504, 2548;3472, 2548;3472, 2516;3504, 2516;3488.0000;2532.0000;97
743;District 6 Sigma;Imagination;Premium;  1867P;3104, 2752;3120, 2768;3088, 2768;3088, 2736;3120, 2736;3104.0000;2752.0000;98
744;District 6 Sigma;Imagination;Premium;  1868P;3136, 2752;3152, 2768;3120, 2768;3120, 2736;3152, 2736;3136.0000;2752.0000;98
745;District 6 Sigma;Imagination;Premium;  1869P;2304, 7388;2288, 7372;2320, 7372;2320, 7404;2288, 7404;2304.0000;7388.0000;99
746;District 6 Sigma;Imagination;Premium;  1870P;2272, 7388;2256, 7372;2288, 7372;2288, 7404;2256, 7404;2272.0000;7388.0000;99
747;District 6 Sigma;Imagination;Premium;  1871P;1776, 6480;1760, 6464;1792, 6464;1792, 6496;1760, 6496;1776.0000;6480.0000;100
748;District 6 Sigma;Imagination;Premium;  1872P;1744, 6480;1728, 6464;1760, 6464;1760, 6496;1728, 6496;1744.0000;6480.0000;100
749;District 6 Sigma;Imagination;Premium;  1873P;3456, 7388;3472, 7372;3440, 7372;3440, 7404;3472, 7404;3456.0000;7388.0000;101
750;District 6 Sigma;Imagination;Premium;  1874P;3488, 7388;3504, 7372;3472, 7372;3472, 7404;3504, 7404;3488.0000;7388.0000;101
751;District 6 Sigma;Imagination;Premium;  1875P;3984, 6480;4000, 6464;3968, 6464;3968, 6496;4000, 6496;3984.0000;6480.0000;102
752;District 6 Sigma;Imagination;Premium;  1876P;4016, 6480;4032, 6464;4000, 6464;4000, 6496;4032, 6496;4016.0000;6480.0000;102
753;District 6 Sigma;Imagination;Premium;  1877P;2384, 5934;2400, 5918;2368, 5918;2368, 5950;2400, 5950;2384.0000;5934.0000;103
754;District 6 Sigma;Imagination;Premium;  1878P;2416, 5934;2432, 5918;2400, 5918;2400, 5950;2432, 5950;2416.0000;5934.0000;103
755;District 6 Sigma;Imagination;Premium;  1879P;3376, 5934;3360, 5918;3392, 5918;3392, 5950;3360, 5950;3376.0000;5934.0000;104
756;District 6 Sigma;Imagination;Premium;  1880P;3344, 5934;3328, 5918;3360, 5918;3360, 5950;3328, 5950;3344.0000;5934.0000;104
757;District 6 Sigma;Imagination;Premium;  1881P;2384, 3986;2400, 4002;2368, 4002;2368, 3970;2400, 3970;2384.0000;3986.0000;105
758;District 6 Sigma;Imagination;Premium;  1882P;2416, 3986;2432, 4002;2400, 4002;2400, 3970;2432, 3970;2416.0000;3986.0000;105
759;District 6 Sigma;Imagination;Premium;  1883P;3376, 3986;3360, 4002;3392, 4002;3392, 3970;3360, 3970;3376.0000;3986.0000;106
760;District 6 Sigma;Imagination;Premium;  1884P;3344, 3986;3328, 4002;3360, 4002;3360, 3970;3328, 3970;3344.0000;3986.0000;106
761;District 6 Sigma;Imagination;Premium;  1885P;4656, 5188;4640, 5172;4672, 5172;4672, 5204;4640, 5204;4656.0000;5188.0000;107
762;District 6 Sigma;Imagination;Premium;  1886P;4624, 5188;4608, 5172;4640, 5172;4640, 5204;4608, 5204;4624.0000;5188.0000;107
763;District 6 Sigma;Imagination;Premium;  1887P;4656, 4732;4640, 4748;4672, 4748;4672, 4716;4640, 4716;4656.0000;4732.0000;108
764;District 6 Sigma;Imagination;Premium;  1888P;4624, 4732;4608, 4748;4640, 4748;4640, 4716;4608, 4716;4624.0000;4732.0000;108
765;District 6 Sigma;Imagination;Premium;  1889P;1776, 5120;1760, 5104;1792, 5104;1792, 5136;1760, 5136;1776.0000;5120.0000;109
766;District 6 Sigma;Imagination;Premium;  1890P;1744, 5120;1728, 5104;1760, 5104;1760, 5136;1728, 5136;1744.0000;5120.0000;109
767;District 6 Sigma;Imagination;Premium;  1891P;1776, 4800;1760, 4816;1792, 4816;1792, 4784;1760, 4784;1776.0000;4800.0000;110
768;District 6 Sigma;Imagination;Premium;  1892P;1744, 4800;1728, 4816;1760, 4816;1760, 4784;1728, 4784;1744.0000;4800.0000;110
769;District 6 Sigma;Imagination;Premium;  1893P;3984, 5120;4000, 5104;3968, 5104;3968, 5136;4000, 5136;3984.0000;5120.0000;111
770;District 6 Sigma;Imagination;Premium;  1894P;4016, 5120;4032, 5104;4000, 5104;4000, 5136;4032, 5136;4016.0000;5120.0000;111
771;District 6 Sigma;Imagination;Premium;  1895P;3984, 4800;4000, 4816;3968, 4816;3968, 4784;4000, 4784;3984.0000;4800.0000;112
772;District 6 Sigma;Imagination;Premium;  1896P;4016, 4800;4032, 4816;4000, 4816;4000, 4784;4032, 4784;4016.0000;4800.0000;112
773;District 6 Sigma;Imagination;Premium;  1897P;4912, 5522;4928, 5506;4896, 5506;4896, 5538;4928, 5538;4912.0000;5522.0000;113
774;District 6 Sigma;Imagination;Premium;  1898P;4944, 5522;4960, 5506;4928, 5506;4928, 5538;4960, 5538;4944.0000;5522.0000;113
775;District 6 Sigma;Imagination;Premium;  1899P;5264, 5744;5280, 5728;5248, 5728;5248, 5760;5280, 5760;5264.0000;5744.0000;114
776;District 6 Sigma;Imagination;Premium;  1900P;5296, 5744;5312, 5728;5280, 5728;5280, 5760;5312, 5760;5296.0000;5744.0000;114
777;District 6 Sigma;Imagination;Premium;  1901P;-4736, 6652;-4752, 6636;-4720, 6636;-4720, 6668;-4752, 6668;-4736.0000;6652.0000;115
778;District 6 Sigma;Imagination;Premium;  1902P;-4768, 6652;-4784, 6636;-4752, 6636;-4752, 6668;-4784, 6668;-4768.0000;6652.0000;115
779;District 6 Sigma;Imagination;Premium;  1903P;-4912, 5552;-4928, 5536;-4896, 5536;-4896, 5568;-4928, 5568;-4912.0000;5552.0000;116
780;District 6 Sigma;Imagination;Premium;  1904P;-4944, 5552;-4960, 5536;-4928, 5536;-4928, 5568;-4960, 5568;-4944.0000;5552.0000;116
781;District 6 Sigma;Imagination;Premium;  1905P;-4384, 6432;-4400, 6416;-4368, 6416;-4368, 6448;-4400, 6448;-4384.0000;6432.0000;117
782;District 6 Sigma;Imagination;Premium;  1906P;-4416, 6432;-4432, 6416;-4400, 6416;-4400, 6448;-4432, 6448;-4416.0000;6432.0000;117
783;District 6 Sigma;Imagination;Premium;  1907P;-5264, 5744;-5280, 5728;-5248, 5728;-5248, 5760;-5280, 5760;-5264.0000;5744.0000;118
784;District 6 Sigma;Imagination;Premium;  1908P;-5296, 5744;-5312, 5728;-5280, 5728;-5280, 5760;-5312, 5760;-5296.0000;5744.0000;118
785;District 7 Kappa;Community;Standard;2127S;1120, 1904;1136, 1888;1136, 1920;1104, 1920;1104, 1888;1120.0000;1904.0000;51
786;District 7 Kappa;Community;Standard;2128S;1120, 2096;1136, 2080;1136, 2112;1104, 2112;1104, 2080;1120.0000;2096.0000;52
787;District 7 Kappa;Community;Standard;2129S;944, 2236;960, 2220;960, 2252;928, 2252;928, 2220;944.0000;2236.0000;53
788;District 7 Kappa;Community;Standard;2130S;768, 2332;784, 2316;784, 2348;752, 2348;752, 2316;768.0000;2332.0000;54
789;District 7 Kappa;Community;Standard;2131S;1696, -764;1712, -748;1712, -780;1680, -780;1680, -748;1696.0000;-764.0000;55
790;District 7 Kappa;Community;Standard;2132S;1872, -668;1888, -652;1888, -684;1856, -684;1856, -652;1872.0000;-668.0000;56
791;District 7 Kappa;Community;Standard;2133S;2400, -976;2416, -960;2416, -992;2384, -992;2384, -960;2400.0000;-976.0000;57
792;District 7 Kappa;Community;Standard;2134S;2400, -1168;2416, -1152;2416, -1184;2384, -1184;2384, -1152;2400.0000;-1168.0000;58
793;District 7 Kappa;Community;Standard;2135S;4576, -5744;4592, -5728;4592, -5760;4560, -5760;4560, -5728;4576.0000;-5744.0000;59
794;District 7 Kappa;Community;Standard;2136S;4400, -5856;4416, -5840;4416, -5872;4384, -5872;4384, -5840;4400.0000;-5856.0000;60
795;District 7 Kappa;Community;Standard;2137S;4400, -6048;4416, -6032;4416, -6064;4384, -6064;4384, -6032;4400.0000;-6048.0000;61
796;District 7 Kappa;Community;Standard;2138S;4400, -6240;4416, -6224;4416, -6256;4384, -6256;4384, -6224;4400.0000;-6240.0000;62
797;District 7 Kappa;Community;Standard;2139S;4752, -5648;4768, -5632;4768, -5664;4736, -5664;4736, -5632;4752.0000;-5648.0000;63
798;District 7 Kappa;Community;Standard;2140S;5280, -5936;5296, -5920;5296, -5952;5264, -5952;5264, -5920;5280.0000;-5936.0000;64
799;District 7 Kappa;Community;Standard;2141S;5280, -6128;5296, -6112;5296, -6144;5264, -6144;5264, -6112;5280.0000;-6128.0000;65
800;District 7 Kappa;Community;Standard;2142S;5280, -6320;5296, -6304;5296, -6336;5264, -6336;5264, -6304;5280.0000;-6320.0000;66
801;District 7 Kappa;Community;Standard;2143S;5104, -6460;5120, -6444;5120, -6476;5088, -6476;5088, -6444;5104.0000;-6460.0000;67
802;District 7 Kappa;Community;Standard;2144S;4928, -6556;4944, -6540;4944, -6572;4912, -6572;4912, -6540;4928.0000;-6556.0000;68
803;District 7 Kappa;Community;Standard;2145S;1184, -4196;1168, -4212;1168, -4180;1200, -4180;1200, -4212;1184.0000;-4196.0000;69
804;District 7 Kappa;Community;Standard;2146S;1008, -4292;992, -4308;992, -4276;1024, -4276;1024, -4308;1008.0000;-4292.0000;70
805;District 7 Kappa;Community;Standard;2147S;480, -3984;464, -4000;464, -3968;496, -3968;496, -4000;480.0000;-3984.0000;71
806;District 7 Kappa;Community;Standard;2148S;480, -3792;464, -3808;464, -3776;496, -3776;496, -3808;480.0000;-3792.0000;72
807;District 7 Kappa;Community;Standard;2149S;1360, -3872;1344, -3888;1344, -3856;1376, -3856;1376, -3888;1360.0000;-3872.0000;73
808;District 7 Kappa;Community;Standard;2150S;1360, -3680;1344, -3696;1344, -3664;1376, -3664;1376, -3696;1360.0000;-3680.0000;74
809;District 7 Kappa;Community;Standard;2151S;656, -3460;640, -3476;640, -3444;672, -3444;672, -3476;656.0000;-3460.0000;75
810;District 7 Kappa;Community;Standard;2152S;832, -3364;816, -3380;816, -3348;848, -3348;848, -3380;832.0000;-3364.0000;76
811;District 7 Kappa;Community;Standard;2153S;1280, -4640;1296, -4656;1296, -4624;1264, -4624;1264, -4656;1280.0000;-4640.0000;77
812;District 7 Kappa;Community;Standard;2154S;1440, -4540;1456, -4556;1456, -4524;1424, -4524;1424, -4556;1440.0000;-4540.0000;78
813;District 7 Kappa;Community;Standard;2155S;1280, -5280;1296, -5264;1296, -5296;1264, -5296;1264, -5264;1280.0000;-5280.0000;79
814;District 7 Kappa;Community;Standard;2156S;1440, -5380;1456, -5364;1456, -5396;1424, -5396;1424, -5364;1440.0000;-5380.0000;80
815;District 7 Kappa;Community;Standard;2157S;3296, -6460;3312, -6444;3312, -6476;3280, -6476;3280, -6444;3296.0000;-6460.0000;81
816;District 7 Kappa;Community;Standard;2158S;3472, -6344;3488, -6328;3488, -6360;3456, -6360;3456, -6328;3472.0000;-6344.0000;82
817;District 7 Kappa;Community;Standard;2159S;4000, -6672;4016, -6656;4016, -6688;3984, -6688;3984, -6656;4000.0000;-6672.0000;83
818;District 7 Kappa;Community;Standard;2160S;4000, -6864;4016, -6848;4016, -6880;3984, -6880;3984, -6848;4000.0000;-6864.0000;84
819;District 7 Kappa;Community;Standard;2161S;2560, -3904;2576, -3920;2576, -3888;2544, -3888;2544, -3920;2560.0000;-3904.0000;85
820;District 7 Kappa;Community;Standard;2162S;2720, -3824;2736, -3840;2736, -3808;2704, -3808;2704, -3840;2720.0000;-3824.0000;86
821;District 7 Kappa;Community;Standard;2163S;2880, -3725;2896, -3741;2896, -3709;2864, -3709;2864, -3741;2880.0000;-3725.0000;87
822;District 7 Kappa;Community;Standard;2164S;3200, -3904;3184, -3920;3184, -3888;3216, -3888;3216, -3920;3200.0000;-3904.0000;88
823;District 7 Kappa;Community;Standard;2165S;3040, -3824;3024, -3840;3024, -3808;3056, -3808;3056, -3840;3040.0000;-3824.0000;89
824;District 7 Kappa;Community;Standard;2166S;2560, -6016;2576, -6000;2576, -6032;2544, -6032;2544, -6000;2560.0000;-6016.0000;90
825;District 7 Kappa;Community;Standard;2167S;2720, -6096;2736, -6080;2736, -6112;2704, -6112;2704, -6080;2720.0000;-6096.0000;91
826;District 7 Kappa;Community;Standard;2168S;2880, -6195;2896, -6179;2896, -6211;2864, -6211;2864, -6179;2880.0000;-6195.0000;92
827;District 7 Kappa;Community;Standard;2169S;3200, -6016;3184, -6000;3184, -6032;3216, -6032;3216, -6000;3200.0000;-6016.0000;93
828;District 7 Kappa;Community;Standard;2170S;3040, -6096;3024, -6080;3024, -6112;3056, -6112;3056, -6080;3040.0000;-6096.0000;94
829;District 7 Kappa;Community;Standard;2171S;1760, -3248;1744, -3264;1744, -3232;1776, -3232;1776, -3264;1760.0000;-3248.0000;95
830;District 7 Kappa;Community;Standard;2172S;1760, -3056;1744, -3072;1744, -3040;1776, -3040;1776, -3072;1760.0000;-3056.0000;96
831;District 7 Kappa;Community;Standard;2173S;1760, -2864;1744, -2880;1744, -2848;1776, -2848;1776, -2880;1760.0000;-2864.0000;97
832;District 7 Kappa;Community;Standard;2174S;1936, -2724;1920, -2740;1920, -2708;1952, -2708;1952, -2740;1936.0000;-2724.0000;98
833;District 7 Kappa;Community;Standard;2175S;2112, -2628;2096, -2644;2096, -2612;2128, -2612;2128, -2644;2112.0000;-2628.0000;99
834;District 7 Kappa;Community;Standard;2176S;4000, -3248;4016, -3264;4016, -3232;3984, -3232;3984, -3264;4000.0000;-3248.0000;100
835;District 7 Kappa;Community;Standard;2177S;4000, -3056;4016, -3072;4016, -3040;3984, -3040;3984, -3072;4000.0000;-3056.0000;101
836;District 7 Kappa;Community;Standard;2178S;4000, -2864;4016, -2880;4016, -2848;3984, -2848;3984, -2880;4000.0000;-2864.0000;102
837;District 7 Kappa;Community;Standard;2179S;3824, -2724;3840, -2740;3840, -2708;3808, -2708;3808, -2740;3824.0000;-2724.0000;103
838;District 7 Kappa;Community;Standard;2180S;3648, -2628;3664, -2644;3664, -2612;3632, -2612;3632, -2644;3648.0000;-2628.0000;104
839;District 7 Kappa;Community;Standard;2181S;4480, -4640;4464, -4656;4464, -4624;4496, -4624;4496, -4656;4480.0000;-4640.0000;105
840;District 7 Kappa;Community;Standard;2182S;4320, -4540;4304, -4556;4304, -4524;4336, -4524;4336, -4556;4320.0000;-4540.0000;106
841;District 7 Kappa;Community;Standard;2183S;4480, -5280;4464, -5264;4464, -5296;4496, -5296;4496, -5264;4480.0000;-5280.0000;107
842;District 7 Kappa;Community;Standard;2184S;4320, -5380;4304, -5364;4304, -5396;4336, -5396;4336, -5364;4320.0000;-5380.0000;108
843;District 7 Kappa;Community;Standard;2185S;1760, -4640;1744, -4656;1744, -4624;1776, -4624;1776, -4656;1760.0000;-4640.0000;109
844;District 7 Kappa;Community;Standard;2186S;1760, -5280;1744, -5264;1744, -5296;1776, -5296;1776, -5264;1760.0000;-5280.0000;110
845;District 7 Kappa;Community;Standard;2187S;4000, -4640;4016, -4656;4016, -4624;3984, -4624;3984, -4656;4000.0000;-4640.0000;111
846;District 7 Kappa;Community;Standard;2188S;4000, -5280;4016, -5264;4016, -5296;3984, -5296;3984, -5264;4000.0000;-5280.0000;112
847;District 7 Kappa;Community;Standard;2189S;4576, -4176;4592, -4192;4592, -4160;4560, -4160;4560, -4192;4576.0000;-4176.0000;113
848;District 7 Kappa;Community;Standard;2190S;4400, -4064;4416, -4080;4416, -4048;4384, -4048;4384, -4080;4400.0000;-4064.0000;114
849;District 7 Kappa;Community;Standard;2191S;4400, -3872;4416, -3888;4416, -3856;4384, -3856;4384, -3888;4400.0000;-3872.0000;115
850;District 7 Kappa;Community;Standard;2192S;4400, -3680;4416, -3696;4416, -3664;4384, -3664;4384, -3696;4400.0000;-3680.0000;116
851;District 7 Kappa;Community;Standard;2193S;4752, -4272;4768, -4288;4768, -4256;4736, -4256;4736, -4288;4752.0000;-4272.0000;117
852;District 7 Kappa;Community;Standard;2194S;5280, -3984;5296, -4000;5296, -3968;5264, -3968;5264, -4000;5280.0000;-3984.0000;118
853;District 7 Kappa;Community;Standard;2195S;5280, -3792;5296, -3808;5296, -3776;5264, -3776;5264, -3808;5280.0000;-3792.0000;119
854;District 7 Kappa;Community;Standard;2196S;5280, -3600;5296, -3616;5296, -3584;5264, -3584;5264, -3616;5280.0000;-3600.0000;120
855;District 7 Kappa;Community;Standard;2197S;5104, -3460;5120, -3476;5120, -3444;5088, -3444;5088, -3476;5104.0000;-3460.0000;121
856;District 7 Kappa;Community;Standard;2198S;4928, -3364;4944, -3380;4944, -3348;4912, -3348;4912, -3380;4928.0000;-3364.0000;122
