Count,Name,DIAGONALS_01_1_XY,DIAGONALS_01_2_XY,DIAGONALS_01_3_XY,DIAGONALS_01_4_XY,DIAGONALS_01_5_XY,DIAGONALS_01_6_XY,DIAGONALS_003_1_XY,DIAGONALS_003_2_XY,DIAGONALS_003_3_XY,DIAGONALS_003_4_XY,DIAGONALS_003_5_XY,DIAGONALS_003_6_XY,DIAGONALS_02_1_XY,DIAGONALS_02_2_XY,DIAGONALS_02_3_XY,DIAGONALS_02_4_XY,DIAGONALS_02_5_XY,DIAGONALS_02_6_XY,DIAGONALS_005_1_XY,DIAGONALS_005_2_XY,DIAGONALS_005_3_XY,DIAGONALS_005_4_XY,DIAGONALS_005_5_XY,DIAGONALS_005_6_XY,DIAGONALS_006_1_XY,DIAGONALS_006_2_XY,DIAGONALS_006_3_XY,DIAGONALS_006_4_XY,DIAGONALS_006_5_XY,DIAGONALS_006_6_XY,DIAGONALS_007_1_XY,DIAGONALS_007_2_XY,DIAGONALS_007_3_XY,DIAGONALS_007_4_XY,DIAGONALS_007_5_XY,DIAGONALS_007_6_XY,DIAGONALS_08_1_XY,DIAGONALS_08_2_XY,DIAGONALS_08_3_XY,DIAGONALS_08_4_XY,DIAGONALS_08_5_XY,DIAGONALS_08_6_XY,DIAGONALS_08_7_XY,DIAGONALS_08_8_XY,DIAGONALS_09_1_XY,DIAGONALS_09_2_XY,DIAGONALS_09_3_XY,DIAGONALS_09_4_XY,DIAGONALS_09_5_XY,DIAGONALS_09_6_XY,DIAGONALS_09_7_XY,DIAGONALS_09_8_XY,PARALLELS_01_1_XY,PARALLELS_01_2_XY,PARALLELS_01_3_XY,PARALLELS_01_4_XY,PARALLELS_01_5_XY,PARALLELS_01_6_XY,PARALLELS_01_7_XY,PARALLELS_01_8_XY,PARALLELS_02_1_XY,PARALLELS_02_2_XY,PARALLELS_02_3_XY,PARALLELS_02_4_XY,PARALLELS_02_5_XY,PARALLELS_02_6_XY,PARALLELS_02_7_XY,PARALLELS_02_8_XY,PARALLELS_03_1_XY,PARALLELS_03_2_XY,PARALLELS_03_3_XY,PARALLELS_03_4_XY,PARALLELS_03_5_XY,PARALLELS_03_6_XY,PARALLELS_03_7_XY,PARALLELS_03_8_XY
1,Parallels_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2880.0000, -3331.8722","-2880.0000, -3343.4192","-1480.0000, -4151.7096","-1480.0000, -5768.2904","-2880.0000, -6576.5808","-2880.0000, -6588.1278","-1470.0000, -5774.0639","-1470.0000, -4145.9361",,,,,,,,,,,,,,,,
1,Parallels_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5600.0000, 1628.1278","-5600.0000, 1616.5808","-7000.0000, 808.2904","-7000.0000, -808.2904","-5600.0000, -1616.5808","-5600.0000, -1628.1278","-7010.0000, -814.0639","-7010.0000, 814.0639",,,,,,,,,,,,,,,,
1,Parallels_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000, 1628.1278","0.0000, 1616.5808","1400.0000, 808.2904","1400.0000, -808.2904","0.0000, -1616.5808","0.0000, -1628.1278","1410.0000, -814.0639","1410.0000, 814.0639",,,,,,,,,,,,,,,,
1,Parallels_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000, 1628.1278","0.0000, 1616.5808","-1400.0000, 808.2904","-1400.0000, -808.2904","0.0000, -1616.5808","0.0000, -1628.1278","-1410.0000, -814.0639","-1410.0000, 814.0639",,,,,,,,,,,,,,,,
1,Parallels_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5600.0000, 1628.1278","-5600.0000, 1616.5808","-4200.0000, 808.2904","-4200.0000, -808.2904","-5600.0000, -1616.5808","-5600.0000, -1628.1278","-4190.0000, -814.0639","-4190.0000, 814.0639",,,,,,,,,,,,,,,,
1,Parallels_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2880.0000, 6588.1278","2880.0000, 6576.5808","1480.0000, 5768.2904","1480.0000, 4151.7096","2880.0000, 3343.4192","2880.0000, 3331.8722","1470.0000, 4145.9361","1470.0000, 5774.0639",,,,,,,,,,,,,,,,
1,Parallels_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2880.0000, 6588.1278","-2880.0000, 6576.5808","-1480.0000, 5768.2904","-1480.0000, 4151.7096","-2880.0000, 3343.4192","-2880.0000, 3331.8722","-1470.0000, 4145.9361","-1470.0000, 5774.0639",,,,,,,,,,,,,,,,
1,Parallels_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2880.0000, 6588.1278","-2880.0000, 6576.5808","-4280.0000, 5768.2904","-4280.0000, 4151.7096","-2880.0000, 3343.4192","-2880.0000, 3331.8722","-4290.0000, 4145.9361","-4290.0000, 5774.0639",,,,,,,,,,,,,,,,
1,Parallels_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5600.0000, 2644.2642","5600.0000, 2632.7172","7880.0000, 1316.3586","7880.0000, -1316.3586","5600.0000, -2632.7172","5600.0000, -2644.2642","7890.0000, -1322.1321","7890.0000, 1322.1321",,,,,,,,
1,Parallels_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5600.0000, 2644.2642","5600.0000, 2632.7172","3320.0000, 1316.3586","3320.0000, -1316.3586","5600.0000, -2632.7172","5600.0000, -2644.2642","3310.0000, -1322.1321","3310.0000, 1322.1321",,,,,,,,
1,Parallels_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2880.0000, 7604.2642","2880.0000, 7592.7172","5160.0000, 6276.3586","5160.0000, 3643.6414","2880.0000, 2327.2828","2880.0000, 2315.7358","5170.0000, 3637.8679","5170.0000, 6282.1321",,,,,,,,
1,Parallels_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2880.0000, -2315.7358","-2880.0000, -2327.2828","-5160.0000, -3643.6414","-5160.0000, -6276.3586","-2880.0000, -7592.7172","-2880.0000, -7604.2642","-5170.0000, -6282.1321","-5170.0000, -3637.8679",,,,,,,,
1,Parallels_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2880.0000, -2315.7358","2880.0000, -2327.2828","5160.0000, -3643.6414","5160.0000, -6276.3586","2880.0000, -7592.7172","2880.0000, -7604.2642","5170.0000, -6282.1321","5170.0000, -3637.8679",,,,,,,,
1,Parallels_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2880.0000, -2315.7358","2880.0000, -2327.2828","600.0000, -3643.6414","600.0000, -6276.3586","2880.0000, -7592.7172","2880.0000, -7604.2642","590.0000, -6282.1321","590.0000, -3637.8679",,,,,,,,
1,Parallels_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2880.0000, -2315.7358","-2880.0000, -2327.2828","-600.0000, -3643.6414","-600.0000, -6276.3586","-2880.0000, -7592.7172","-2880.0000, -7604.2642","-590.0000, -6282.1321","-590.0000, -3637.8679",,,,,,,,
1,Parallels_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5600.0000, 2644.2642","-5600.0000, 2632.7172","-7880.0000, 1316.3586","-7880.0000, -1316.3586","-5600.0000, -2632.7172","-5600.0000, -2644.2642","-7890.0000, -1322.1321","-7890.0000, 1322.1321",,,,,,,,
1,Parallels_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000, 2644.2642","0.0000, 2632.7172","2280.0000, 1316.3586","2280.0000, -1316.3586","0.0000, -2632.7172","0.0000, -2644.2642","2290.0000, -1322.1321","2290.0000, 1322.1321",,,,,,,,
1,Parallels_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000, 2644.2642","0.0000, 2632.7172","-2280.0000, 1316.3586","-2280.0000, -1316.3586","0.0000, -2632.7172","0.0000, -2644.2642","-2290.0000, -1322.1321","-2290.0000, 1322.1321",,,,,,,,
1,Parallels_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5600.0000, 2644.2642","-5600.0000, 2632.7172","-3320.0000, 1316.3586","-3320.0000, -1316.3586","-5600.0000, -2632.7172","-5600.0000, -2644.2642","-3310.0000, -1322.1321","-3310.0000, 1322.1321",,,,,,,,
1,Parallels_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2880.0000, 7604.2642","2880.0000, 7592.7172","600.0000, 6276.3586","600.0000, 3643.6414","2880.0000, 2327.2828","2880.0000, 2315.7358","590.0000, 3637.8679","590.0000, 6282.1321",,,,,,,,
1,Parallels_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2880.0000, 7604.2642","-2880.0000, 7592.7172","-600.0000, 6276.3586","-600.0000, 3643.6414","-2880.0000, 2327.2828","-2880.0000, 2315.7358","-590.0000, 3637.8679","-590.0000, 6282.1321",,,,,,,,
1,Parallels_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2880.0000, 7604.2642","-2880.0000, 7592.7172","-5160.0000, 6276.3586","-5160.0000, 3643.6414","-2880.0000, 2327.2828","-2880.0000, 2315.7358","-5170.0000, 3637.8679","-5170.0000, 6282.1321",,,,,,,,
1,Parallels_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5600.0000, 1385.6406","5600.0000, 1374.0936","6790.0000, 687.0468","6790.0000, -687.0468","5600.0000, -1374.0936","5600.0000, -1385.6406","6800.0000, -692.8203","6800.0000, 692.8203"
1,Parallels_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5600.0000, 1385.6406","5600.0000, 1374.0936","4410.0000, 687.0468","4410.0000, -687.0468","5600.0000, -1374.0936","5600.0000, -1385.6406","4400.0000, -692.8203","4400.0000, 692.8203"
1,Parallels_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2880.0000, 6345.6406","2880.0000, 6334.0936","4070.0000, 5647.0468","4070.0000, 4272.9532","2880.0000, 3585.9064","2880.0000, 3574.3594","4080.0000, 4267.1797","4080.0000, 5652.8203"
1,Parallels_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2880.0000, -3574.3594","-2880.0000, -3585.9064","-4070.0000, -4272.9532","-4070.0000, -5647.0468","-2880.0000, -6334.0936","-2880.0000, -6345.6406","-4080.0000, -5652.8203","-4080.0000, -4267.1797"
1,Parallels_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2880.0000, -3574.3594","2880.0000, -3585.9064","4070.0000, -4272.9532","4070.0000, -5647.0468","2880.0000, -6334.0936","2880.0000, -6345.6406","4080.0000, -5652.8203","4080.0000, -4267.1797"
1,Parallels_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2880.0000, -3574.3594","2880.0000, -3585.9064","1690.0000, -4272.9532","1690.0000, -5647.0468","2880.0000, -6334.0936","2880.0000, -6345.6406","1680.0000, -5652.8203","1680.0000, -4267.1797"
1,Parallels_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2880.0000, -3574.3594","-2880.0000, -3585.9064","-1690.0000, -4272.9532","-1690.0000, -5647.0468","-2880.0000, -6334.0936","-2880.0000, -6345.6406","-1680.0000, -5652.8203","-1680.0000, -4267.1797"
1,Parallels_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5600.0000, 1385.6406","-5600.0000, 1374.0936","-6790.0000, 687.0468","-6790.0000, -687.0468","-5600.0000, -1374.0936","-5600.0000, -1385.6406","-6800.0000, -692.8203","-6800.0000, 692.8203"
1,Parallels_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000, 1385.6406","0.0000, 1374.0936","1190.0000, 687.0468","1190.0000, -687.0468","0.0000, -1374.0936","0.0000, -1385.6406","1200.0000, -692.8203","1200.0000, 692.8203"
1,Parallels_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0000, 1385.6406","0.0000, 1374.0936","-1190.0000, 687.0468","-1190.0000, -687.0468","0.0000, -1374.0936","0.0000, -1385.6406","-1200.0000, -692.8203","-1200.0000, 692.8203"
1,Parallels_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5600.0000, 1385.6406","-5600.0000, 1374.0936","-4410.0000, 687.0468","-4410.0000, -687.0468","-5600.0000, -1374.0936","-5600.0000, -1385.6406","-4400.0000, -692.8203","-4400.0000, 692.8203"
1,Parallels_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2880.0000, 6345.6406","2880.0000, 6334.0936","1690.0000, 5647.0468","1690.0000, 4272.9532","2880.0000, 3585.9064","2880.0000, 3574.3594","1680.0000, 4267.1797","1680.0000, 5652.8203"
1,Parallels_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2880.0000, 6345.6406","-2880.0000, 6334.0936","-1690.0000, 5647.0468","-1690.0000, 4272.9532","-2880.0000, 3585.9064","-2880.0000, 3574.3594","-1680.0000, 4267.1797","-1680.0000, 5652.8203"
1,Parallels_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2880.0000, 6345.6406","-2880.0000, 6334.0936","-4070.0000, 5647.0468","-4070.0000, 4272.9532","-2880.0000, 3585.9064","-2880.0000, 3574.3594","-4080.0000, 4267.1797","-4080.0000, 5652.8203"

